,doc_name,download_link,filing_date,folder_link,folder_name,submitter_category,submitter_name
0,C13853-1 Commission – Procedural Update No. 6 - Enbridge – Canadian Mainline Contracting – Written and oral final summary argument - A7U8F5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4103988,2021-06-30,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4104114,C13853 Commission | Commission - Procedural Update No. 6 – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Written and oral final summary argument,A - Commission,Commission | Commission
2,"C13649-1 Commission – Letter - Enbridge – Canadian Mainline Contracting – Aid to Questioning CSG, MEG and Suncor Witnesses - A7U5F7",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482,2021-06-19,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4101893,"C13649 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Aid to Questioning of Witness for Canadian Shippers Group, MEG Energy Corp. and Suncor Energy Inc.",A - Commission,Commission | Commission
3,"C13649-2 Commission – Aid to Questioning – Enbridge – Canadian Mainline Contracting – CSG MEG, and Suncor - A7U5F8",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483,2021-06-19,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4101893,"C13649 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Aid to Questioning of Witness for Canadian Shippers Group, MEG Energy Corp. and Suncor Energy Inc.",A - Commission,Commission | Commission
5,C13454-1 Commission – Procedural Update No. 5 - Enbridge – Canadian Mainline Contracting – Oral Hearing Schedule Update - A7U1V9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249,2021-06-08,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4101248,C13454 Commission | Commission - Procedural Update No. 5 – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Oral Hearing Schedule Update,A - Commission,Commission | Commission
7,C13445-1 Commission – Letter – Enbridge – Canadian Mainline Contracting – CER Aids to Cross-Examination - A7U1T7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099449,2021-06-07,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099448,C13445 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Cross-Examination for Enbridge Wood Mackenzie Panel,A - Commission,Commission | Commission
9,C13426-1 Commission – Letter – Enbridge – Canadian Mainline Contracting – CER Aids to Question Enbridge Panel No. 2 - A7U1J3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099640,2021-06-04,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099716,C13426 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Questioning Enbridge Panel No. 2,A - Commission,Commission | Commission
10,C13426-2 Commission – Aid 1 - Commission Letter Decision - Campus Energy - Tolls and Terms and Conditions of Service - Suffield Pipeline System - Objections and Complaints (C12297-1) - A7U1J4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099878,2021-06-04,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099716,C13426 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Questioning Enbridge Panel No. 2,A - Commission,Commission | Commission
12,C13426-4 Commission – Aid 3 - Enbridge Pipelines Inc. - Appendix 1 - Competitive Toll Settlement and Final Toll Application (A1Y9R7) - A7U1J6,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099438,2021-06-04,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099716,C13426 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Questioning Enbridge Panel No. 2,A - Commission,Commission | Commission
13,C13426-5 Commission – Aid 4 - Enbridge Pipelines Inc. - CLT CER No. 470 (C06522-3) - A7U1J7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099880,2021-06-04,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099716,C13426 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Questioning Enbridge Panel No. 2,A - Commission,Commission | Commission
14,C13426-6 Commission – Aid 5 - Enbridge Pipelines Inc. - CLT CER No. 466 (C06516-3) - A7U1J8,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099881,2021-06-04,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4099716,C13426 Commission | Commission - Letter – Enbridge Pipelines Inc. – Canadian Mainline Contracting – Canada Energy Regulator Aids to Questioning Enbridge Panel No. 2,A - Commission,Commission | Commission
