,download_link,clean_string
0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482,"File OF-Tolls-Group1-E101-2019-02 02 19 June 2021   To:  Canadian Shippers Group Distribution List  MEG Energy Corp.  Suncor Energy Inc.    Enbridge Pipelines Inc.  Canadian Mainline Contracting Application Hearing Order RH-001-2020 Aid to Questioning of Canadian Shippers Group (CSG), MEG Energy Corp.  (MEG) and Suncor Energy Inc. (Suncor) Witness Panels  In accordance with Procedural Update No. 3 (C12714) and Procedural Update No. 4 (C13017), the following aid to questioning may be referred to by counsel for the  Commission of the Canada Energy Regulator during questioning of the CSG, MEG and Suncor witness panels:  1. TransCanada Keystone International Joint Rate Tariff National Energy Board No. 18,  11 February 2016, (REGDOCS No. A75491-1) The document is attached. If you have any questions regarding this notice, please contact the Enbridge Process Advisory team at EnbridgeContracting@cer-rec.gc.ca.   Yours sincerely,   Signed by   Jean-Denis Charlebois Secretary of the Commission   Attachment (1) – Aid to Questioning   c.c.       All Participants in the RH-001-2020 Proceeding Appendix 1 to Commission Letter  Dated 19 June 2021 Page 1 of 2    Distribution List – Canadian Shippers Group, MEG Energy Corp. and Suncor Energy Inc.  Ms. Shonda Day Director Market Development Canadian Natural Resources Limited 2100, 855 - 2 Street SW Calgary, AB   T2P 4J8 Email Shonda.Day@cnrl.com   Mr. Martin Ignasiak Authorized Representative Canadian Natural Resources Limited Legal Counsel Osler, Hoskin & Harcourt LLP 450 – 1 Street SW Calgary, AB   T2P 5H1 Email mignasiak@osler.com   Mr. Keith Miller  Legal Counsel Keith Miller Law MEG Energy Corp. 2007 - 30 Avenue SW Calgary, AB   T2T 1R3 Email kfm@keithmiller.law Mr. Chris Blaker Authorized Representative, MEG Energy Corp. Director of Marketing Business Development MEG Energy Corporation 25th Floor, 600 – 3 Avenue SW Calgary, AB   T2P 0G5 Email Chris.Blaker@megenergy.com   Mr. David Mercier Authorized Representative, MEG Energy Corp. Director, Legal MEG Energy Corp. 25th Floor, 600 – 3 Avenue SW Calgary, AB   T2P 0G5 Email David.Mercier@megenergy.com Mr. Evan Dickinson Legal Counsel Shell Canada Limited P.O. Box 100, Station M 400 – 4 Avenue SW Calgary, AB   T2P 0J4 Email Evan.Dickinson@shell.com   Mr. Evan Dixon Authorized Representative, Shell Canada Limited Solicitor Shell Canada Limited 400 - 4 Avenue SW Calgary, AB   T2P 0J4 Email edixon@bdplaw.com   Mr. Brendan Downey Authorized Representative, Shell Canada Limited Solicitor Shell Canada Limited 2400, 525 - 8 Avenue SW Calgary, AB   T2P 1G1 Email bdowney@bdplaw.com   Mr. Robert Martz Authorized Representative, Shell Canada Limited Solicitor Shell Canada Limited 2400, 525 - 8 Avenue SW Calgary, AB   T2P 1G1 Email rmartz@bdplaw.com   Mr. Shawn Hinch Legal Manager and Vice President Total E&P Canada Ltd. 4700, 888 - 3 Street SW Calgary, AB   T2P 5C5 Email shawn.hinch@total.com    Mr. Ron Kruhlak Total E&P Canada Ltd. Legal Counsel McLennan Ross LLP 600 McLennan Ross Building 12220 Stony Plain Road Edmonton, AB   T5N 3Y4 Email rkruhlak@mross.com  Appendix 1 to Commission Letter  Dated 19 June 2021 Page 1 of 2   Mr. Jay Headrick Senior Legal Counsel Suncor Energy Inc. P.O. Box 2844 150 - 6 Avenue SW Calgary, AB   T2P 3E3 Email jheadrick@suncor.com  Ms. Katie Slipp Blake, Cassels & Graydon LLP 3500 Bankers Hall East Tower 855 - 2 Street SW Calgary, AB   T2P 4J8 Email katie.slipp@blakes.com Mr. C. Kemm Yates Suncor Energy Inc. 707, 308 - 4 Avenue SW Calgary, AB   T2P 0H7 Email cky@kemmyates.com"
0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102483,"450 - 1st Street SW Calgary, Alberta  T2P 5H1  Tel:  (403) 920-2918  Fax: (403) 920-2347  E-mail: julie_kemp@transcanada.com  February 11, 2016   National Energy Board      Filed Electronically 517 Tenth Avenue SW Calgary, Alberta  T2R 0A8  Attention: Ms. Sheri Young, Secretary of the Board   Dear Ms. Young:  Re: TransCanada Keystone Pipeline GP Ltd.,  as general partner on behalf of TransCanada Keystone Pipeline Limited Partnership (Keystone)  Filing of Keystone Pipeline System NEB Tariff No. 18  Pursuant to Section 60(1)(a) of the National Energy Board Act, and in accordance with the National Energy Board’s Reasons for Decision in both OH-1-20071 and OH-1-20082 Keystone files the enclosed international joint rate tariff (IJT), NEB Tariff No. 18, to be effective on  March 1, 2016.  NEB Tariff No. 18 is being filed as an IJT between Keystone, and in agreement with, TransCanada Keystone Pipeline, LP, by its general partner, TransCanada Keystone Pipeline GP, LLC as offering joint international service from Hardisty, Alberta, Canada to Port Arthur, Texas in the United States (U.S.). As per Keystone’s proposal to discount uncommitted tolls (accepted by the Board in OH-1-2007 and OH-1-2008), the IJT will provide a more competitive and transparent full path toll to further attract uncommitted volumes to the U.S. Gulf Coast via the Keystone Pipeline System. The IJT rates set forth in NEB Tariff No. 18 are less than the sum of the local tariff rates for the component movements on the Keystone Pipeline System and the Keystone U.S. Pipeline System. As evidenced in Appendix A the proposed IJT rates would result in a discount to the sum of the local tariff rates.3 The proposed IJT does not affect any other posted rate, toll or charge payable in accordance with local tariffs. The tariffs for the local rates in the U.S. are filed with the 1 NEB Reasons for Decision, TransCanada Keystone Pipeline GP Ltd., Application for Construction and Operation of the Keystone Pipeline, September 2007 (OH-1-2007). 2 NEB Reasons for Decision, TransCanada Keystone Pipeline GP Ltd., Facilities and Toll Methodology, July 2008 (OH-1-2008). 3 Table 1 and Table 2 assume an exchange rate of CAD $1.00 = US $0.71. Additional tables included for illustrative purposes assume the Canadian dollar to be at par with the U.S. dollar, which scenario also results in the IJT rates being less than the sum of the local tariff rates.                                                   Page 2 of 2             February 11, 2016 Ms. S. Young  Federal Energy Regulatory Commission, which performs a similar regulatory role as that of the Board to ensure the local tariff rates are just and reasonable. Should the Board require additional information regarding this filing, please contact me by phone at (403) 920-2918 or by email at julie_kemp@transcanada.com. Yours truly, TransCanada Keystone Pipeline GP Ltd.  Original signed by  Julie Kemp Liquids Pipelines Regulatory  Attachments cc: Keystone Pipeline System shippers and interested parties  TransCanada Pipeline GP Ltd. and TransCanada Keystone Pipeline, LPAppendix A - Supporting Information for the Rates Set Forth in NEB Tariff No. 18 and in FERC No. 7.0.0Origin Destination CommodityCurrent  Uncommitted Toll in US $/m3Current  Uncommitted Toll in US $/bblOrigin Destination CommodityCurrent Temporary Discounted Rates In Effect in US $/m3Current Temporary Discounted Rates In Effect in US $/bblCommoditySum of the Local Tariff Rates in US $/m3Sum of the Local Tariff Rates in US $/bblLight Crude 11.630 1.849LightCrude 60.284 9.584Light Crude 71.914 11.433Heavy Crude 13.082 2.080 Heavy Crude 64.895 10.317 Heavy Crude 77.977 12.397Light Crude 11.433Heavy Crude 12.397Sum of the Local Tariff RatesTable 2: Discount Resulting from the International Joint Tariff RatesTable 1: Sum of the Local Tariff Rates                Assuming CAD $1.00 per US $0.71 Sum of the Local Tariff Rates in US $/bblTransCanada Keystone Pipeline, LPLocal Pipeline Tariff FERC No. 6.23.0TransCanada Keystone Pipeline GP Ltd.Local Petroleum Toll Schedule NEB Tariff No. 17Port Arthur, Texas               Assuming CAD $1.00 per US $0.71 7.113CommodityInternational Boundary at or near Haskett, Manitoba (for ultimate U.S. Delivery to Port Arthur, Texas)7.730(4.320)(4.667)International Boundary at or near Haskett, ManitobaHardisty, AlbertaInternational Joint Tariff Rates per FERC No. 7.0.0 and NEB Tariff No. 18 in US $/bblDiscount Resulting from International Joint Tariff RatesTransCanada Pipeline GP Ltd. and TransCanada Keystone Pipeline, LPAppendix A con't - Supporting Information for the Rates Set Forth in NEB Tariff No. 18 and in FERC No. 7.0.0               Assuming CAD $1.00 per US $1.00Origin Destination CommodityCurrent  Uncommitted Toll in US $/m3Current  Uncommitted Toll in US $/bblOrigin Destination CommodityCurrent Temporary Discounted Rates In Effect in US $/m3Current Temporary Discounted Rates In Effect in US $/bblCommoditySum of the Local Tariff Rates in US $/m3Sum of the Local Tariff Rates in US $/bblLight Crude 16.380 2.604LightCrude 60.284 9.584Light Crude 76.664 12.188Heavy Crude 18.425 2.929 Heavy Crude 64.895 10.317 Heavy Crude 83.320 13.246               Assuming CAD $1.00 per US $1.00Light Crude 12.188Heavy Crude 13.246Table 3: Sum of the Local Tariff Rates TransCanada Keystone Pipeline GP Ltd. TransCanada Keystone Pipeline, LP Sum of the Local Tariff RatesLocal Petroleum Toll Schedule NEB Tariff No. 17 Local Pipeline Tariff FERC No. 6.23.0Hardisty, AlbertaInternational Boundary at or near Haskett, Manitoba (for ultimate U.S. Delivery to Port Arthur, Texas)International Boundary at or near Haskett, ManitobaPort Arthur, TexasTable 4: Discount Resulting from the International Joint Tariff Rates7.730 (5.516)CommoditySum of the Local Tariff Rates in US $/bblInternational Joint Tariff Rates per FERC No. 7.0.0 and NEB Tariff No. 18 in US $/bblDiscount Resulting from International Joint Tariff Rates7.113 (5.075)    National Energy Board   FERC No. 7.0.0 Tariff No. 18 FERC ICA Oil Tariff    TransCanada Keystone Pipeline GP Ltd. as general partner on behalf of TransCanada Keystone Pipeline Limited Partnership In Connection with TransCanada Keystone Pipeline, LP by its general partner  TransCanada Keystone Pipeline GP, LLC  International Joint Rate Tariff Containing Rates Applying to the Transportation of Petroleum  From Hardisty, Alberta  To Port Arthur, Texas   The transportation rates listed in this tariff are subject to the Rules and Regulations published by: TransCanada Keystone Pipeline GP Ltd., National Energy Board (NEB) Tariff No. 15 and supplements thereto and reissues thereof, for transportation within Canada; and TransCanada Keystone Pipeline, LP’s, F.E.R.C. No. 5.3.0, and supplements thereto and reissues thereof; for transportation within the United States.  For the purpose of this tariff, capitalized terms used herein and not otherwise defined have the meanings set out in such Rules and Regulations.  Issued on 18 days’ notice under authority of 18 CFR § 341.14. This tariff publication is conditionally accepted subject to refund pending a 30 day review period.   The provisions published herein will, if effective, not result in an effect on the quality of the human environment.     Issued: February 11, 2016                                                 Effective:  March 1, 2016 Issued by: Trudy Eisele TransCanada Keystone Pipeline GP Ltd. 450 – 1st Street SW Calgary, Alberta T2P 5H1 Canada  Compiled by: Julie Kemp TransCanada Keystone Pipeline GP Ltd. 450 – 1st Street SW Calgary, Alberta T2P 5H1, Canada  (403) 920-2918 (403) 920-2347 (fax) julie_kemp@transcanada.com   website: http://www.transcanada.com/keystone-shipper-information.html     NEB Tariff No. 18               Page 2 of 2                                                  FERC No. 7.0.0   International Joint Uncommitted Rates   (Rates in United States dollars per Barrel)   Origin Destination Light Crude Heavy Crude Hardisty, Alberta Port Arthur, Texas 7.113  7.730    Notes: 1) The international joint rates herein are applicable to a Non-Term Shipper who specifies the international joint service via a Notice of Shipment and to a Term Shipper with a Contract Delivery Point to Port Arthur for volumes Tendered in excess of the Contract Volume in accordance with Term Shipper’s Contract. 2) Volumes Tendered at the Lucas interconnect facility will be charged an additional US$0.629/m3 (US$0.10/bbl) for volumes Delivered at such facility. 3) There will be an Abandonment Surcharge of CAD$0.369/m3 (CAD$0.06/bbl) applicable to all Shippers in accordance with the determination of the Abandonment Charge as set forth in NEB Tariff No. 15.   Joint Routing: TransCanada Keystone Pipeline GP Ltd. - Hardisty, Alberta to International Boundary at or near Haskett, Manitoba connecting to; TransCanada Keystone Pipeline, LP - International Boundary at or near Haskett, Manitoba to  Port Arthur, Texas.  Exceptions: 1) Exception to F.E.R.C. No. 5.3.0, Item 9, Payment of Tariff Rates and Other Charges and Lien for Unpaid Charges: For the purposes of this international joint tariff, NEB Tariff No. 15,  Article 9, will apply. TransCanada Keystone International Joint Rate Tariff NEB No. 18Attachment 1 - Appendix AAttachment 2 - Rate Schedule"
0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4101249,"File OF-Tolls-Group1-E101-2019-02 02 8 June 2021  To: All Participants in the RH-001-2020 Proceeding  Enbridge Pipelines Inc. (Enbridge)  Canadian Mainline Contracting Application Hearing Order RH-001-2020 Procedural Update No. 5 – Updated hearing timetable  On 10 May 2021, the Commission of the Canada Energy Regulator (Commission)  issued Procedural Update No. 4 (C13017), which provided detailed information on the  oral proceeding for RH-001-2020.  On 19 May 2021, the oral proceeding began. At this time, the Commission is updating the tentative schedule, based on how the proceeding has progressed and updates to estimates provided by the parties (Appendix I). The Commission requests that any parties who have further changes to this update based on their current estimates raise such changes as a preliminary matter on the morning of 9 June 2021. The Commission appreciates parties’ assistance in providing estimates throughout the proceeding to allow the tentative schedule to be refined as the cross-examination continues.  As noted in Procedural Update No. 3 (C12714), the Commission has directed an oral summary argument process, which will include both written argument and oral submissions. Specifically, any participants wishing to participate in final argument must file written final argument. Oral argument will follow, but is optional, except for Enbridge, which is required to do both. Enbridge’s written final argument will be due 3 business days following the close of cross-examination, intervenors’ written argument will be due 2 business days after that.  The Commission also requires parties to file their intention to participate in oral argument, in writing, before the end of cross-examination.  If the hearing ends as anticipated in this tentative schedule, the Commission will hear oral summary argument the week of 12 July 2021. This date is subject to change if the tentative schedule varies significantly.  Please contact the Process Advisory Team if you have any questions with respect to any of the information noted above, at EnbridgeContracting@cer-rec.gc.ca or by telephone toll-free at 1-800-899-1265.   Yours sincerely,  Signed by  Jean-Denis Charlebois Secretary of the Commission   Attachment  https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4094340https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091340mailto:EnbridgeContracting@cer-rec.gc.caAppendix I – Attachment to Commission Letter dated 8 June 2021 Page 1 of 2    Appendix I – Updated Tentative Schedule for  Oral Cross-Examination  Witness Panel Date Cross-Examining Party (time estimates in brackets, if known) Enbridge Pipelines Inc. (Enbridge) Panel 1 May 19 – 21,  May 25 – 27,  May 31 – June 2  CSG  Suncor  ConocoPhillips  CCRL & FCL  EPAC  Government of Saskatchewan  Inter Pipeline  MEG  Valero / Phillips 66 CER  Enbridge Panel 2 June 2 – 3 June 7 – 8 CSG (7 hours) Suncor (5 hours) CCRL & FCL (2.5 hours) CER Enbridge Wood Mackenzie June 9 – 10 CSG (1 hour) Suncor (1 hour) CER Cenovus Energy Inc. (Cenovus) June 10,  June 14 – 15 CSG (6 hours) ConocoPhillips (1 hour) Suncor (2 hours) CER United Refining Company June 15 Suncor (0.5 hours) CER BP Products North America Inc. (BP) June 15 – 16 CSG (2 hours) ConocoPhillips (1 hour) Suncor (0.5 hours) Valero / Phillips 66 (0.5 hours) CER Appendix I – Attachment to Commission Letter dated 8 June 2021 Page 2 of 2   Motiva Trading LLC (Motiva) June 16 Suncor (0.5 hours) Valero / Phillips 66 (0.5 hours) CER Imperial Oil Limited (Imperial) June 16 – 17 CSG (1 hour) Suncor (0.5 hours) Valero / Phillips 66 (0.5 hours) CER Canadian Shippers Group (CSG) June 17, June 21 – 22 Enbridge (6 hours) BP (1 hour) Cenovus (2 hours) Imperial (0.5 hours) CER MEG Energy Corp. (MEG) June 22 Enbridge (2 hours) BP (0.5 hours) CER Inter Pipeline Ltd. (Inter Pipeline) June 22 – 23 Enbridge (1 hour) CER Suncor Energy Inc. (Suncor) June 23, 25 Enbridge (3 hours) Cenovus (2 hours) BP (0.5 hours) Imperial (0.5 hours) CER The Explorers and Producers Association of Canada (EPAC) June 25, June 28 Enbridge (3 hours) BP (1 hour) Cenovus (1 hour) CER Consumers’ Cooperative Refineries Ltd. and Federated Co-operatives Limited (CCRL & FCL) June 28 – 29 Enbridge (2 hours) BP (0.5 hours) CER Valero Energy Inc. (Valero) / Phillips 66 Canada (Phillips 66) June 29 Enbridge (2 hours) BP (0.5 hours) Imperial (0.5 hours) CER Government of Saskatchewan June 29 – 30 Enbridge (2 hours) CER"
0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099449,"File OF-Tolls-Group1-E101-2019-02 02 7 June 2021   Ms. Jennifer Nichols Associate General Counsel Regulatory Law Enbridge Pipelines Inc. 200, Fifth Avenue Place Calgary, AB   T2P 3L8 Email jennifer.nichols@enbridge.com Ms. Kristi Millar Senior Legal Counsel Enbridge Pipelines Inc. 200, Fifth Avenue Place Calgary, AB   T2P 3L8 Email kristi.millar@enbridge.com Mr. D.G. Davies, Q.C. Norton Rose Fulbright Canada LLP 3700, 400 Third Avenue SW Calgary, AB   T2P 4H2 Email don.davies@nortonrosefulbright.com Mr. B. Roth Dentons 850 – 2 Street SW Calgary, AB   T2P 0R8 Email bernard.roth@dentons.com Enbridge Pipelines Inc.  Legal Services Email legal.services.lp.gtm.rla.paralegals@enbridge.com    Dear Ms. Nichols, Ms. Millar, Mr. Davies and Mr. Roth:  Enbridge Pipelines Inc. (Enbridge)  Canadian Mainline Contracting Application Hearing Order RH-001-2020 Aids to Questioning of Enbridge Wood Mackenzie Panel  In accordance with Procedural Update No. 3 (C12714) and Procedural Update No. 4 (C13017), the following aid to questioning may be referred to by counsel for the Commission of the Canada Energy Regulator (Commission) during questioning of Enbridge’s Wood Mackenzie witness panel:  1. 2020 Enbridge Day Presentation – Liquids Pipelines (previously filed as an aid to cross by the Canadian Shippers Group, (C13116-7)      …/2mailto:jennifer.nichols@enbridge.commailto:kristi.millar@enbridge.commailto:don.davies@nortonrosefulbright.commailto:bernard.roth@dentons.commailto:legal.services.lp.gtm.rla.paralegals@enbridge.comhttps://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091340https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4094340https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4098596   -2-   If you have any questions regarding this notice, please contact the Enbridge Process Advisory team at EnbridgeContracting@cer-rec.gc.ca.   Yours sincerely,  Signed by  Jean-Denis Charlebois Secretary of the Commission   c.c.       All Participants in the RH-001-2020 Proceeding mailto:EnbridgeContracting@cer-rec.gc.ca"
0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4099640,"File OF-Tolls-Group1-E101-2019-02 02 4 June 2021   Ms. Jennifer Nichols Associate General Counsel Regulatory Law Enbridge Pipelines Inc. 200, Fifth Avenue Place Calgary, AB   T2P 3L8 Email jennifer.nichols@enbridge.com Ms. Kristi Millar Senior Legal Counsel Enbridge Pipelines Inc. 200, Fifth Avenue Place Calgary, AB   T2P 3L8 Email kristi.millar@enbridge.com Mr. D.G. Davies, Q.C. Norton Rose Fulbright Canada LLP 3700, 400 Third Avenue SW Calgary, AB   T2P 4H2 Email don.davies@nortonrosefulbright.com Mr. B. Roth Dentons 850 – 2 Street SW Calgary, AB   T2P 0R8 Email bernard.roth@dentons.com Enbridge Pipelines Inc.  Legal Services Email legal.services.lp.gtm.rla.paralegals@enbridge.com    Dear Ms. Nichols, Ms. Millar, Mr. Davies and Mr. Roth:  Enbridge Pipelines Inc. (Enbridge)  Canadian Mainline Contracting Application Hearing Order RH-001-2020 Aids to Questioning of Enbridge Panel No. 2  In accordance with Procedural Update No. 3 (C12714) and Procedural Update No. 4 (C13017), the following aids to questioning may be referred to by counsel for the Commission of the Canada Energy Regulator (Commission) during questioning of  Enbridge Witness Panel No. 2:  1. Commission, Letter Decision RH-002-2020, Campus Application for Tolls and  Terms and Conditions of Service for the Suffield North Pipeline, 7 April 2021, (REGDOCS No. C12297-1), 2. National Energy Board (NEB), Reasons for Decision RH-1-2007, TransCanada PipeLines Limited Gros Cacouna Receipt Point Application, July 2007,  (REGDOCS No. A16008-1) 3. Enbridge Pipelines Inc. – Competitive Toll Settlement and Final Toll Application, Appendix 1 – Competitive Toll Settlement (the CTS), 2 May 2011,  (REGDOCS No. A1Y9R7)  …/2mailto:jennifer.nichols@enbridge.commailto:kristi.millar@enbridge.commailto:don.davies@nortonrosefulbright.commailto:bernard.roth@dentons.commailto:legal.services.lp.gtm.rla.paralegals@enbridge.comhttps://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091340https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4094340https://docs2.cer-rec.gc.ca/ll-eng/llisapi.dll/fetch/2000/90465/92837/3827917/3908276/4083725/4085249/C12297-1_Commission_Letter_Decision__-_Campus_Energy_-_Tolls_and_Terms_and_Conditions_of_Service_for_the_Suffield_Pipeline_System_and_objections_and_complaints_regarding_Suffield_-_A7S4Q6.pdf?nodeid=4087554&vernum=-2https://docs2.cer-rec.gc.ca/ll-eng/llisapi.dll/fetch/2000/90465/92833/92843/443945/472730/471076/A16008-1_NEB_%E2%80%93_Reasons_for_Decision_%E2%80%93_TransCanada_%E2%80%93_Gros_Cacouna_Receipt_Point_%E2%80%93_RH-1-2007.pdf?nodeid=470970&vernum=-2https://docs2.cer-rec.gc.ca/ll-eng/llisapi.dll/fetch/2000/90465/92835/155829/673846/685797/685706/A1Y9R7_-_Appendix_1_-_Competitive_Toll_Settlement_%28the_CTS%29.pdf?nodeid=685713&vernum=-2   -2-  4. Enbridge, Canada Energy Regulator (CER) Tariff No. 470, Local Tolls Applying  on Crude Petroleum, Natural Gas Liquids and Refined Petroleum Products,  (REGDOCS No. C06522-3) 5. Enbridge, CER Tariff No. 466, Local Tolls Applying on Crude Petroleum, Natural Gas Liquids and Refined Petroleum Products, (REGDOCS No. C06516-3) 6. Enbridge, CER Tariff No. 458, Local Tolls Applying on Crude Petroleum, Natural Gas Liquids and Refined Petroleum Products, (REGDOCS No. C03282-3) 7. Enbridge, NEB Tariff No. 448, Local Tolls Applying on Crude Petroleum, Natural Gas Liquids and Refined Petroleum Products, (REGDOCS No. A99669-2)  The documents are attached. If you have any questions regarding this notice, please contact the Enbridge Process Advisory team at EnbridgeContracting@cer-rec.gc.ca.   Yours sincerely,  Signed by  Jean-Denis Charlebois Secretary of the Commission   Attachments (7)   c.c.       All Participants in the RH-001-2020 Proceeding https://can01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fapps.cer-rec.gc.ca%2FREGDOCS%2FFile%2FDownload%2F3931377&data=04%7C01%7CJessica.Gill%40cer-rec.gc.ca%7Cb9c0b2bd36c7467bbb5208d927629b6b%7C56e9b8d38a3549abbdfc27de59608f01%7C0%7C0%7C637584126727416692%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=C9u5GX7LCWZy%2BFxl6UDffZo%2FLC3DHaqzfCzdpAJWEXw%3D&reserved=0https://can01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fapps.cer-rec.gc.ca%2FREGDOCS%2FFile%2FDownload%2F3931476&data=04%7C01%7CJessica.Gill%40cer-rec.gc.ca%7Cb9c0b2bd36c7467bbb5208d927629b6b%7C56e9b8d38a3549abbdfc27de59608f01%7C0%7C0%7C637584126727426689%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=z6eLzy2MFyNDq60K3NAWW%2FvJq3WMaJoNMp6LycVmEEI%3D&reserved=0https://can01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fapps.cer-rec.gc.ca%2FREGDOCS%2FFile%2FDownload%2F3891588&data=04%7C01%7CJessica.Gill%40cer-rec.gc.ca%7Cb9c0b2bd36c7467bbb5208d927629b6b%7C56e9b8d38a3549abbdfc27de59608f01%7C0%7C0%7C637584126727436683%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=MfOvBnTGZZiwB%2BcLg40747Ej6cZ8NM8DAjzYSAPHQKg%3D&reserved=0https://can01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fapps.cer-rec.gc.ca%2FREGDOCS%2FFile%2FDownload%2F3782587&data=04%7C01%7CJessica.Gill%40cer-rec.gc.ca%7Cb9c0b2bd36c7467bbb5208d927629b6b%7C56e9b8d38a3549abbdfc27de59608f01%7C0%7C0%7C637584126727436683%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=bUaPic%2BIDGjeai7%2FCJy2O5Ugptk3S30ZKwxkRbrP0ec%3D&reserved=0mailto:EnbridgeContracting@cer-rec.gc.ca"
