,sentence,download_link
0,File OF-Tolls-Group1-E101-2019-02 02,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
1,19 June 2021   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
2,To:  Canadian Shippers Group Distribution List  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
3,MEG Energy Corp.  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
4,Suncor Energy Inc.    ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
5,"Enbridge Pipelines Inc.  Canadian Mainline Contracting Application Hearing Order RH-001-2020 Aid to Questioning of Canadian Shippers Group (CSG), MEG Energy Corp.  (MEG) and Suncor Energy Inc.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
6,(Suncor),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
7,Witness Panels  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
8,In accordance with Procedural Update,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
9,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
10,3 (C12714) and Procedural Update,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
11,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
12,"4 (C13017),",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
13,"the following aid to questioning may be referred to by counsel for the  Commission of the Canada Energy Regulator during questioning of the CSG, MEG and Suncor witness panels:  1.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
14,TransCanada Keystone International Joint Rate Tariff National Energy Board,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
15,No.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
16,"18,  11 February 2016, (REGDOCS No.",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
17,A75491-1),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
18,The document is attached.,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
19,"If you have any questions regarding this notice, please contact the Enbridge Process Advisory team at EnbridgeContracting@cer-rec.gc.ca.   ",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
20,"Yours sincerely,   Signed by   Jean-Denis Charlebois Secretary of the Commission   Attachment (1)",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
21,– Aid to Questioning   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
22,c.c.       ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
23,"All Participants in the RH-001-2020 Proceeding Appendix 1 to Commission Letter  Dated 19 June 2021 Page 1 of 2    Distribution List – Canadian Shippers Group, MEG Energy Corp. and",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
24,"Suncor Energy Inc.  Ms. Shonda Day Director Market Development Canadian Natural Resources Limited 2100, 855 - 2 Street SW Calgary, AB   T2P 4J8 Email",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
25,Shonda.Day@cnrl.com   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
26,"Mr. Martin Ignasiak Authorized Representative Canadian Natural Resources Limited Legal Counsel Osler, Hoskin & Harcourt LLP 450 – 1 Street SW Calgary, AB   T2P 5H1",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
27,Email,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
28,mignasiak@osler.com   ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
29,Mr. Keith Miller  ,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
30,"Legal Counsel Keith Miller Law MEG Energy Corp. 2007 - 30 Avenue SW Calgary, AB   T2",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
31,"T 1R3 Email kfm@keithmiller.law Mr. Chris Blaker Authorized Representative,",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4102482
